jockey_id,jockey_name
05081,Ｋ．タム
05082,Ｐ．ディレマ
05083,Ｋ．チン
05084,Ｋ．アプ
05085,千場　俊彦
05086,安部　幸夫
05087,関本　淳
05088,馬渕　繁治
05089,宮崎　光行
05090,長山　光則
05091,五十嵐　冬樹
05092,桜井　拓章
05093,横山　克彦
05094,斉藤　正弘
05095,沼沢　英知
05096,川島　雅人
05097,福重　正吾
05098,真島　正徳
05099,吉田　順治
05100,斉藤　誠
05101,小国　博行
05102,有馬　澄男
05103,岡島　玉一
05104,小嶋　久輝
05105,坂井　薫人
05106,榎本　貴行
05107,小嶋　耕輝
05108,水戸　賢二
05109,桑田　豊
05110,千田　知幸
05111,宇都　英樹
05112,石井　勝男
05113,渡辺　正彦
05114,倉知　三千紀
05115,Ａ．シュタルケ
05116,Ｓ．セラーズ
05117,Ｊ．マトス
05118,Ｗ．マルチネス
05119,阿部　英俊
05120,河端　秀俊
05121,西　康志
05122,小山　信行
05123,飯泉　之男
05124,佐藤　祐樹
05125,宮下　康一
05126,Ｇ．コッター
05127,丸山　侯彦
05128,半杭　議
05129,Ｋ．ウー
05130,Ｋ．レイ
05131,Ｒ．チョクセイ
05132,Ｍ．レコサーナ
05133,Ｋ．スリブーン
05134,坂口　義幸
05135,Ｄ．ホワイト
05136,栗林　宏
05137,関本　秀幸
05138,富樫　英利
05139,深見　明宏
05140,星野　純一
05141,竹内　仁志
05142,大塚　研司
05143,大沢　信夫
05144,秋田　大助
05145,長橋　秀樹
05146,山口　高
05147,長田　進仁
05148,関本　浩司
05149,米山　哲郎
05150,石川　夏子
05151,上村　尚寛
05152,横山　誠
05153,白谷　正美
05154,荒巻　透
05155,圓田　修
05156,三野宮　通
05157,Ｔ．ヘリヤー
05158,Ｏ．ボッソン
05159,小瀬　良昌
05160,柴田　直樹
05161,東川　公則
05162,Ｓ．サンダース
05163,菅原　雅文
05164,藤原　良一
05165,佐宗　応和
05166,山崎　真輝
05167,下條　知之
05168,Ａ．マドレーヌ
05169,Ｋ．ゴール
05170,Ｗ．スミス
05171,岡部　誠
05172,米田　真由美
05173,Ｄ．オドノヒュー
05174,Ｃ．モンチョイ
05175,Ｖ．ディレマ
05176,Ｗ．ライ
05177,Ｔ．ニップ
05178,橋　尚也
05179,酒井　章
